country,asin
de,1015
fr,1015
de,000004458X
fr,000004458X
de,1002198
fr,1002198
fr,1002791
it,1002791
de,1002864
fr,1002864
de,1003704
fr,1003704
de,1003763
fr,1003763
fr,1004271
it,1004271
de,000101742X
fr,000101742X
de,1017519
fr,1017519
de,000102163X
fr,000102163X
fr,1022369
it,1022369
fr,1022857
it,1022857
de,1032666
fr,1032666
de,1034677
fr,1034677
de,1034936
fr,1034936
de,1034944
fr,1034944
de,1035002
fr,1035002
de,1035029
fr,1035029
de,1035053
es,1035053
fr,1035053
de,1035339
fr,1035339
de,1036866
es,1036866
fr,1036866
de,1037137
fr,1037137
de,1037188
fr,1037188
de,1037994
fr,1037994
de,000103863X
fr,000103863X
de,1039466
fr,1039466
fr,1040871
it,1040871
de,1040979
fr,1040979
de,1040987
fr,1040987
de,1041002
fr,1041002
de,1041991
fr,1041991
de,000104317X
fr,000104317X
de,1043331
fr,1043331
de,000104348X
fr,000104348X
de,1043498
fr,1043498
de,1043773
fr,1043773
de,000104396X
fr,000104396X
de,1048325
fr,1048325
de,1049119
fr,1049119
de,1057774
fr,1057774
de,1057790
es,1057790
fr,1057790
de,1057812
es,1057812
fr,1057812
de,1057987
fr,1057987
de,1059238
fr,1059238
de,1060619
fr,1060619
de,1060694
es,1060694
fr,1060694
de,1061305
fr,1061305
de,1063685
fr,1063685
de,1065440
fr,1065440
de,1065548
fr,1065548
de,1066544
fr,1066544
de,1067087
fr,1067087
de,1067311
fr,1067311
es,000106875X
fr,000106875X
it,000106875X
de,1069470
fr,1069470
de,1070991
fr,1070991
de,000107119X
fr,000107119X
de,1072064
de,1072226
fr,1072226
de,1072250
fr,1072250
de,1072498
fr,1072498
de,1073389
fr,1073389
de,1073915
fr,1073915
de,1074504
fr,1074504
de,1074954
fr,1074954
de,1075691
fr,1075691
de,1075969
fr,1075969
de,1075977
fr,1075977
de,1077619
fr,1077619
de,1077732
fr,1077732
de,1077988
fr,1077988
de,1078550
fr,1078550
de,1079131
fr,1079131
